Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
"Aptalis Pharma US, Inc",No,,ZENPEP,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"Becton, Dickinson and Company",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
VERTEX PHARMACEUTICALS INCORPORATED,No,,KALYDECO,Other Service Providers|Military Health Care Provider,disallowed
PFIZER INTERNATIONAL LLC,No,,GENOTROPIN,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,disallowed
"DFINE, Inc",No,StabiliT,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Pediatric Orthopaedic Surgery,disallowed
Novartis Pharmaceuticals Corporation,No,,SIGNIFOR,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",allowed
Prometheus Laboratories Inc.,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
SIGN Fracture Care International,No,SIGN IM Nail and Implants,,,disallowed
"INTERNATIONAL REHABILITATIVE SCIENCES, INC",No,RS OA SOLUTION,,Other Service Providers|Specialist,disallowed
"ASAHI INTECC USA, INC.",No,Interventional Cardiology,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"LILLY USA, LLC",No,,REOPRO,,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
Covidien LP,No,Thrombectomy,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"LILLY USA, LLC",No,,FORTEO,Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Acute Care,disallowed
DePuy Products Inc.,No,Hips,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Genzyme Corporation,No,,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,disallowed
Astellas Pharma US Inc,No,,ASTAGRAF XL,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Pfizer Pharmaceuticals LLC,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"LifeScan, Inc.",No,Meters,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Janssen Scientific Affairs, LLC",No,,No Product,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Galena Biopharma, Inc.",No,,ABSTRAL,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,ULORIC,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Boehringer Ingelheim Pharma GmbH & Co.KG,No,,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Wockhardt USA LLC,No,,Bromfed DM 4 oz. bottle,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
Philips Electronics North America Corporation,No,Personal Care Undivided,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"Genentech USA, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
MED-EL Corporation,No,MED-EL Electric Acoustic System,,,allowed
Sunovion Pharmaceuticals Inc.,No,,Latuda,"Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist|Psych/Mental Health, Adult",disallowed
HOLOGIC INC,No,Thin Prep,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Colcrys,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Novartis Pharmaceuticals Corporation,No,,MIDOSTAURIN,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Allergan Inc.,No,,,Allopathic & Osteopathic Physicians|Otolaryngology|Facial Plastic Surgery,disallowed
"Medline Industries, Inc.",No,Reprocessing,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Medtronic Xomed, Inc.",No,Image Guided Surgery Products,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Bio Products Laboratory, Inc.",No,,Gammaplex,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Stryker Corporation,No,TRAUMA & EXTREMITIES,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Baxter Healthcare,No,,BioSurgery - VERITAS,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
INNOCUTIS Holdings LLC,No,,BIONECT,Laboratories|Clinical Medical Laboratory,disallowed
Baxter Healthcare,No,,BioTherapeutics - GAMMAGARD-KIOVIG,Allopathic & Osteopathic Physicians|Internal Medicine|Allergy & Immunology,disallowed
Alcon Research Ltd,No,,Pataday,Other Service Providers|Specialist,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ERBITUX,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Horizon Pharma USA, Inc.",No,,RAYOS-1mg Prednisone,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
SHIONOGI INC,No,,Naprelan,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
Merck Sharp & Dohme Corporation,No,,JANUVIA,Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,disallowed
Eisai Inc.,No,,Belviq,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
"Mercedes Medical, LLC",No,Clarity Panel Drug Test 10 Parameter,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Zogenix Inc.,No,,Sumavel DosePro,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,disallowed
Animas Corporation,No,One Touch Ping,Invokana,,disallowed
"Elekta, Inc.",No,ELEKTA BRACHYTHERAPY,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
Hollister Incorporated,No,Sela Sal Sal,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Covidien LP,No,Peripheral Vascular Stents,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"KCI USA, Inc",No,Dermal Tissue Matrix,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Mercedes Medical, LLC",No,Starfrost 90 Degree White Adhesive Slide,,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"Elekta, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Santarus, Inc",No,,Uceris,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Promius Pharma LLC,No,,ZENATANE,Allopathic & Osteopathic Physicians|Dermatology|Pediatric Dermatology,disallowed
"Tornier, Inc.",No,DEV - Ascend Flex,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,allowed
"Genentech USA, Inc.",No,,Tarceva,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Digirad Corporation,No,,,Other Service Providers|Legal Medicine,disallowed
"Aegerion Pharmaceuticals, Inc.",No,,JUXTAPID,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Mallinckrodt LLC,No,,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Varian Medical Systems, Inc.",No,,,,disallowed
3M Company,No,,Clinpro 5000 Toothpaste-Spearmint,Dental Providers|Dentist|General Practice,disallowed
Novo Nordisk Inc,No,,NovoLog,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,disallowed
Baxter Healthcare,No,,BioSurgery - COSEAL,Allopathic & Osteopathic Physicians|Surgery,disallowed
Premier Dental Products Company,No,Big Easy Insert #1000 Triple Bend 25K,,Dental Providers|Dentist|General Practice,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIIMA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychosomatic Medicine,disallowed
Novo Nordisk Inc,No,,Victoza,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Medtronic, Inc.",No,Aortic Stent Grafts,,Allopathic & Osteopathic Physicians|Surgery,disallowed
ViiV Healthcare Company,No,,TIVICAY,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Teva Pharmaceuticals USA, Inc.",No,,TREANDA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"Genentech USA, Inc.",No,,Pulmozyme,Dental Providers|Dentist,disallowed
Stryker Corporation,No,TRAUMA & EXTREMITIES,,Allopathic & Osteopathic Physicians|Surgery|Surgery of the Hand,disallowed
Allergan Inc.,No,,OZURDEX,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"St. Jude Medical, Inc.",No,CRM,,Hospitals|Special Hospital,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,SYNRIBO,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Alcon Research Ltd,No,,,Eye and Vision Services Providers|Optometrist|Low Vision Rehabilitation,disallowed
SeaPearl Inc,No,ARTHREX PRODUCT LINE SHOULDER & ELBOW ARTHROSCOPY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
Convatec Inc.,No,OSTOMY,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
Southtech Orthopedics,No,ARTHREX PRODUCT LINE KNEE & HIP ARTHROSCOPY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Allergan Inc.,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Incyte Corporation,No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Zimmer Holding Inc,No,Knee,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Covidien Sales LLC,No,Thrombectomy,,Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,disallowed
Alcon Research Ltd,No,,Azopt,,allowed
"Janssen Scientific Affairs, LLC",No,,Procrit,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Cook Incorporated,No,SUR - SIS,,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Bard Peripheral Vascular, Inc.",No,Oncology,,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers|Physical Therapist|Orthopedic",disallowed
Davol Inc.,No,Surgical,,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
Cook Incorporated,No,IR - Drainage,,Allopathic & Osteopathic Physicians|Radiology|Body Imaging,disallowed
CareFusion Corporation,No,,Blood Culture Kit,Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,QNASL,Allopathic & Osteopathic Physicians|Otolaryngology|Facial Plastic Surgery,disallowed
"Alliqua  BioMedical, Inc.",No,SilverSeal,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot Surgery,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
"Mid-Atlantic Surgical Systems, LLC",No,ARTHREX PRODUCT LINE SHOULDER & ELBOW ARTHROSCOPY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"FUJIFILM Medical Systems USA, Inc.",No,Synase,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
LifeCell Corporation,No,Spy,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"Actelion Pharmaceuticals US, Inc.",No,,VENTAVIS ILOPROST,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
ITxM Diagnostics,No,,blood,,disallowed
SANOFI-AVENTIS U.S. LLC,No,,JEVTANA,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
ELLMAN INTERNATIONAL,No,Lasers,,Other Service Providers|Specialist,disallowed
Novartis Pharmaceuticals Corporation,No,,NON BRAND,Behavioral Health & Social Service Providers|Psychologist,disallowed
"Medtronic USA, Inc.",No,Drug Infusion Systems,,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
"Vertical Pharmaceuticals, LLC",No,,ConZip,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Mylan Specialty L.P.,No,,,,allowed
Sanofi Pasteur Inc.,No,,DAPTACEL,Dental Providers|Dentist|General Practice,disallowed
"W. L. Gore & Associates, Inc.",No,C3 Delivery System,,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
Ethicon Inc.,No,Biosurgicals,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Baxter Healthcare,No,,BioTherapeutics - ARALAST,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Sotera Wireless, Inc.",No,Visi Mobile System,,,allowed
Pfizer Inc.,No,,RELPAX,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Bard Peripheral Vascular, Inc.",No,Vascular,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Aptalis Pharma US, Inc",No,,PYLERA,Allopathic & Osteopathic Physicians|General Practice,disallowed
BioMarin Pharmaceutical Inc.,No,,BMN 190,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
Amgen Inc.,No,,Prolia,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
AstraZeneca Pharmaceuticals LP,No,,SYMBICORT,Behavioral Health & Social Service Providers|Psychologist,disallowed
"Braemar Manufacturing, LLC",No,Cardiac Monitoring Suite,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"EMPI, INC.",No,TENS,,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
Arthrosurface Incorporated,No,HemiCAP Knee,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"Sysmex America, Inc.",No,,,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
Teleflex Medical Incorporated,No,EFx,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"Takeda Pharmaceuticals U.S.A., Inc.",No,,,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
"Medtronic Vascular, Inc.",No,,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
"DJO, LLC",No,Orthoses  Off-The-Shelf,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
Sanofi Pasteur Inc.,No,,PENTACEL,Other Service Providers|Legal Medicine,disallowed
Boston Scientific Corporation,No,PELVIC ORGAN PROLAPSE,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Micromed Inc,No,ARTHREX PRODUCT LINE ARTHROPLASTY,,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
Merck Sharp & Dohme Corporation,No,,VYTORIN,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
Pfizer Inc.,No,,ZYVOX,,allowed
"Uroplasty, Inc.",No,Urgent PC,Urgent PC,Allopathic & Osteopathic Physicians|Surgery,disallowed
Mylan Specialty L.P.,No,,EpiPen,Dental Providers|Dentist|Periodontics,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,KOMBIGLYZE XR,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"Alere Informatics, Inc.",No,RALS,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"MedImmune, LLC",No,,SYNAGIS,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Genentech USA, Inc.",No,,Activase,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
Pfizer Inc.,No,,PRISTIQ,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
"AbbVie, Inc.",No,,Lupron,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Critical Care Medicine,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,Finacea,Other Service Providers|Specialist,disallowed
"UCB, Inc.",No,,Vimpat,Ambulatory Health Care Facilities|Clinic/Center|Infusion Therapy,disallowed
"Medimetriks Pharmaceuticals, Inc.",No,,Synalar TS Kit,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"Carl Zeiss Meditec, Inc.",No,VisuMax,,Allopathic & Osteopathic Physicians|Ophthalmology,allowed
"Cumberland Pharmaceuticals, Inc.",No,,Kristalose 10gm,Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery,disallowed
"LeMaitre Vascular, Inc.",No,VALVULOTOM,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"AbbVie, Inc.",No,,ABT-719,Allopathic & Osteopathic Physicians|Anesthesiology|Critical Care Medicine,disallowed
"Siemens Medical Solutions USA, Inc.",No,HS - incl. all products and services,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
Incyte Corporation,No,,JAKAFI,Allopathic & Osteopathic Physicians|Pathology|Immunopathology,disallowed
"Ipsen Biopharmaceuticals, Inc",No,,Dysport 300 U1,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers|Physical Therapist",disallowed
Cook Incorporated,No,AI - Advanced Tech,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,SUSTIVA,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"DUSA Pharmaceuticals, Inc.",No,,Levulan Kerastick,Other Service Providers|Legal Medicine,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,AMITIZA,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Hospice and Palliative Medicine,disallowed
"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",No,,,,allowed
"Impax Laboratories, Inc.",No,,PD,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
"RTI Surgical, Inc.",No,RTI Product,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Takeda Pharmaceuticals International, Inc.",No,,Edarbyclor,,allowed
"Navidea Biopharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,SYMLIN,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
DePuy Synthes Products LLC,No,Joint Reconstruction,,,allowed
"Galderma Laboratories, L.P.",No,,EPIDUO,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Pfizer Inc.,No,,LYRICA,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
Novartis Pharmaceuticals Corporation,No,,GLEEVEC,Allopathic & Osteopathic Physicians|General Practice,disallowed
"ALK-Abello, Inc",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Allergy & Immunology,disallowed
"Vascular Solutions, Inc.",No,Vari-Lase,,Other Service Providers|Specialist,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,FEVIPIPRANT,Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy,disallowed
Ethicon Inc.,No,Advanced Wound Care,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
BIOVENTUS LLC,No,Ultrasound Bone Healing,,,disallowed
"K2M, Inc.",No,CHESAPEAKE,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Mallinckrodt LLC,No,,Exalgo,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Neuromuscular Medicine,disallowed
"Alphatec Spine, Inc",No,Iridium,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Genentech USA, Inc.",No,,Erivedge,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Avinger Inc.,No,Vascular Disease,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Horizon Pharma USA, Inc.",No,,DUEXIS-800mg Ibuprofen- 26.6mg Famotidine,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
Pfizer Inc.,No,,GELFOAM,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
"Salix Pharmaceuticals, Ltd",No,,RELISTOR,Allopathic & Osteopathic Physicians|Urology,disallowed
Boston Scientific Corporation,No,STENTS,,Other Service Providers|Specialist,disallowed
Astellas Pharma US Inc,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,disallowed
Cook Incorporated,No,PI - Filters,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,disallowed
"OmniGuide, Inc.",No,Precision Energy Products for Head & Neck Surgical Applications,,Other Service Providers|Specialist,disallowed
"Takeda Pharmaceuticals International, Inc.",No,,Nesina,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
TEI Biosciences Inc,No,PriMatrix,PriMatrix,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Pacific Medical, Inc",No,ALL ARTHREX PRODUCT LINES,,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"Takeda Pharmaceuticals U.S.A., Inc.",No,,Nesina,Other Service Providers|Specialist,disallowed
"AbbVie, Inc.",No,,Synthroid,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,disallowed
"Smith & Nephew, Inc.",No,,Santyl,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
"MedImmune, LLC",No,,SYNAGIS,Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery,disallowed
Warner Chilcott LLC,No,,ENABLEX,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
Olympus America Inc.,No,Urology & Gynecology Products,,Allopathic & Osteopathic Physicians|Preventive Medicine|Aerospace Medicine,disallowed
Olympus Biotech Corporation,No,Orthopedic Products,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot Surgery,disallowed
"Takeda Development Center Americas, Inc.",No,,,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,allowed
"E.R. Squibb & Sons, L.L.C.",No,,REYATAZ,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,disallowed
Zimmer Holding Inc,No,Knee,,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"Milliken Healthcare Products, LLC",No,Wound Dressings,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Advanced Respiratory, Inc",No,Airway Clearance Device,,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
AstraZeneca Pharmaceuticals LP,No,,PULMICORT TURBUHALER,Allopathic & Osteopathic Physicians|Internal Medicine|Allergy & Immunology,disallowed
Novo Nordisk Inc,No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
Boston Scientific Corporation,No,VASCULAR ACCESS,,Other Service Providers|Specialist,disallowed
"Janssen Scientific Affairs, LLC",No,,Procrit,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
Boston Scientific Corporation,No,PERIPHERAL CUTTING BALLOON,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
CareFusion Corporation,No,,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"AbbVie, Inc.",No,,ABT-719,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
Tactile Systems Technology Inc,No,Flexitouch,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
Covidien Sales LLC,No,Access,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"Amendia, Inc.",No,Savannah-T pedicle screw,Savannah-T pedicle screw,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Otsuka Pharmaceutical Co., Ltd.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Desert Mountain Medical,No,ARTHREX PRODUCT LINE DISTAL EXTREMITY ARTHROSCOPY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
Covidien Sales LLC,No,Interventional Lung Solutions,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Zimmer Holding Inc,No,Trauma,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
ELI LILLY EXPORT S.A. PUERTO RICO BRANCH,No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,allowed
SANOFI-AVENTIS U.S. LLC,No,,AUVIQ,Allopathic & Osteopathic Physicians|Internal Medicine|Addiction Medicine,disallowed
"Medtronic Xomed, Inc.",No,Advanced Energy Hemostatic Device,,Other Service Providers|Specialist,disallowed
"Medimetriks Pharmaceuticals, Inc.",No,,Morgidox 1x100 Kit,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"Vatech America, Inc.",No,,,Dental Providers|Dentist,disallowed
"DFINE, Inc",No,STAR,,Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,disallowed
AstraZeneca Pharmaceuticals LP,No,,ONGLYZA,"Other Service Providers|Medical Genetics, Ph.D. Medical Genetics",disallowed
Novartis Pharmaceuticals Corporation,No,,EXELON PATCH,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"IsoTis OrthoBioligics, Inc.",No,Ortho-Bone Grafts,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Bayer HealthCare LLC,No,Contour,,Eye and Vision Services Providers|Optometrist,disallowed
Allergan Inc.,No,,OZURDEX,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
GE Healthcare,No,PATIENT CARE AND MONITORING PRODUCTS,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Janssen Research & Development, LLC",No,,JNJ-16175328-AAA,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
SHIONOGI INC,No,,Osphena,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
Merit Medical Systems Inc,No,,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
ELI LILLY AND COMPANY,No,,AXIRON,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",allowed
Biogen Idec Inc.,No,,,Allopathic & Osteopathic Physicians|Pathology|Cytopathology,disallowed
Thoratec Corporation,No,HeartMate II,,Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist|Adult Health,disallowed
DePuy Synthes Sales Inc.,No,MIS#Lateral,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"NeuroPace, Inc.",No,RNS System,,Allopathic & Osteopathic Physicians|Radiology|Therapeutic Radiology,disallowed
EKOS Corporation,No,EKOSONIC,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
BIOVENTUS LLC,No,Ultrasound Bone Healing,,Allopathic & Osteopathic Physicians|Internal Medicine|Sports Medicine,disallowed
